DISTRICTE;NOM_DISTRICTE
6;Gràcia
2;Eixample
9;Sant Andreu
7;Horta-Guinardó
5;Sarrià-Sant Gervasi
10;Sant Martí
8;Nou Barris
3;Sants-Montjuïc
1;Ciutat Vella
4;Les Corts
