CODI_CAPA;CAPA_GENERICA;NOM_CAPA;ED50_COORD_X;ED50_COORD_Y;ETRS89_COORD_X;ETRS89_COORD_Y;LONGITUD;LATITUD;EQUIPAMENT;DISTRICTE;BARRI;NOM_DISTRICTE;NOM_BARRI;ADRECA;TELEFON
P001;Internet i comunicacions         ;WiFi BCN                                        ;428673.1;4586813.0;428581.2;4586612.0;2.145255;41.427895;Centre Esportiu Municipal Olímpics Vall Hebron;7;41;Horta-Guinardó;la Vall d'Hebron;Pg Vall d'Hebron, 166*176;934283952
P001;Internet i comunicacions         ;WiFi BCN                                        ;432698.5;4589392.0;432606.56;4589191.0;2.193138;41.451473;Centre Esportiu Municipal Trinitat Vella;9;57;Sant Andreu;la Trinitat Vella;Via Bàrcino, 84*86;933113701
P001;Internet i comunicacions         ;WiFi BCN                                        ;429315.53;4581982.0;429223.62;4581781.0;2.153508;41.38444;Punt de connexió Barcelona WiFi a la cruïlla del carrer Comte Borrell amb l'Avinguda de Roma;2;9;Eixample;la Nova Esquerra de l'Eixample;C Comte Borrell, 184;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;433284.8;4583630.5;433192.84;4583429.5;2.200794;41.39963;Punt de connexió Barcelona WiFi a la cruïlla del carrer Llacuna amb Llull;10;68;Sant Martí;el Poblenou;C Llacuna, 26;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;428587.62;4581358.0;428495.72;4581157.5;2.144876;41.37876;Punt de connexió Barcelona WiFi a la cruïlla del carrer Tarragona amb València;3;15;Sants-Montjuïc;Hostafrancs;C Elisi, 36;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;433118.06;4585522.0;433026.12;4585321.0;2.19859;41.416656;Casal de Gent Gran de Sant Martí;10;72;Sant Martí;Sant Martí de Provençals;C Selva de Mar, 215;933089793
P001;Internet i comunicacions         ;WiFi BCN                                        ;433984.44;4583518.5;433892.47;4583317.5;2.209174;41.398678;Punt de connexió Barcelona WiFi a la cruïlla del carrer Bilbao amb la Ronda Litoral;10;68;Sant Martí;el Poblenou;Pg Calvell, 57;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;434742.7;4584425.0;434650.72;4584224.0;2.218147;41.406906;Punt de connexió Barcelona WiFi a la cruïlla del carrer Josep Pla amb el Passeig de Garcia Faria;10;69;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;C Josep Pla, 2;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;433228.3;4584262.0;433136.34;4584061.0;2.200048;41.40531;Punt de connexió Barcelona WiFi a la cruïlla del carrer Bilbao amb Pere IV;10;68;Sant Martí;el Poblenou;C Bilbao, 123;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;430416.1;4585410.5;430324.16;4585209.5;2.166274;41.41542;Punt de connexió Barcelona WiFi a la Plaça de la Font Castellana;7;34;Horta-Guinardó;Can Baró;Pl Font Castellana, 1;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;432204.72;4589097.0;432112.75;4588896.0;2.18726;41.448776;Casal de Gent Gran Platja d'Aro;8;53;Nou Barris;la Trinitat Nova;C Platja d'Aro, 6;932760651
P001;Internet i comunicacions         ;WiFi BCN                                        ;431937.5;4582767.5;431845.56;4582566.5;2.184775;41.391747;Centre Cívic  Parc - Sandaru-Sales d'Us Polivalent;10;66;Sant Martí;el Parc i la Llacuna del Poblenou;C Buenaventura Muñoz, 21;933090635
P001;Internet i comunicacions         ;WiFi BCN                                        ;430165.03;4580905.5;430073.12;4580705.0;2.163791;41.374825;Punt de connexió Barcelona WiFi a la cruïlla de l'Av. Paral·lel amb Blasco de Garay;3;11;Sants-Montjuïc;el Poble Sec;Av Paral.lel, 97;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;432260.12;4584230.0;432168.2;4584029.0;2.188469;41.404945;Centre Cultural La Farinera del Clot-Teatre;10;65;Sant Martí;el Clot;G.V. Corts Catalanes, 837;932918080
P001;Internet i comunicacions         ;WiFi BCN                                        ;432636.78;4584971.5;432544.8;4584770.5;2.192893;41.411655;Casal de Gent Gran Joan Casanelles;10;65;Sant Martí;el Clot;C Concili de Trento, 35;933562233
P001;Internet i comunicacions         ;WiFi BCN                                        ;428740.78;4583939.0;428648.88;4583738.0;2.146404;41.402016;Punt de connexió Barcelona WiFi a la cruïlla del carrer Balmes amb carrer de les Santjoanistes;5;27;Sarrià-Sant Gervasi;el Putxet i el Farró;C Balmes, 294;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431212.28;4581248.0;431120.34;4581047.5;2.176274;41.378;Centre Esportiu Municipal Frontó Colom;1;2;Ciutat Vella;el Barri Gòtic;C la Rambla, 18;933023295
P001;Internet i comunicacions         ;WiFi BCN                                        ;433820.9;4583669.0;433728.97;4583468.0;2.207202;41.400024;Punt de connexió Barcelona WiFi a la cruïlla del carrer Bilbao amb Fernando Poo;10;68;Sant Martí;el Poblenou;C Fernando Poo, 69;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;432092.2;4586196.0;432000.25;4585995.0;2.18624;41.422634;Centre Garcilaso-Sala d'Estudi Garcilaso;9;61;Sant Andreu;la Sagrera;C Garcilaso, 103;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431292.88;4581751.5;431200.94;4581550.5;2.17718;41.38254;Servei de Documentació i Accés al Coneixement  (SEDAC);1;2;Ciutat Vella;el Barri Gòtic;Pl Sant Jaume, 1;934027468
